id,probe,fixture,mime_types,ground_truth_extensions,ground_truth_filenames,review_status,format_validity,validator,identifiability,reproduction_method,declared_reproduction_tier,disk_sha_consistency,reproduction_verified,pinned_source_sha_verified,source_manifest_status,sha256,sha256_on_disk,evidence_status
sample-flac,.flac,tests/fixtures/sample.flac,audio/flac,.flac,,excluded,verified,ffprobe FLAC decode/container,distinctive,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,e2d4b7372c1147065fc03265dcebd681f6216c29fac7630b4d190c26c66ab759,e2d4b7372c1147065fc03265dcebd681f6216c29fac7630b4d190c26c66ab759,missing
sample-flv,.flv,tests/fixtures/sample.flv,video/x-flv,.flv,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,d4e2266394fdae000fc44f82c54a8bc9f0d4ecc529820c6523b5982dc4642a71,d4e2266394fdae000fc44f82c54a8bc9f0d4ecc529820c6523b5982dc4642a71,missing
sample-gif,.gif,tests/fixtures/sample.gif,image/gif,.gif,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,021e6a7d6134efd7047c22e1e68224279ae37bc48f1e45c586e01ba2454cc239,021e6a7d6134efd7047c22e1e68224279ae37bc48f1e45c586e01ba2454cc239,missing
sample-h5,.h5,tests/fixtures/sample.h5,application/x-hdf5,.h5; .hdf5,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,47104a8b99d51bfea40bee375fe20e080038213ae8898c125f5c97c0890ff8c0,47104a8b99d51bfea40bee375fe20e080038213ae8898c125f5c97c0890ff8c0,missing
sample-heic,.heic,tests/fixtures/sample.heic,image/heic,.heic,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,6f67bb96cc449cbaf9564b0100432d09b34c6d28a25dbe9459351422fdaabb32,6f67bb96cc449cbaf9564b0100432d09b34c6d28a25dbe9459351422fdaabb32,missing
sample-htm,.htm,tests/fixtures/sample.htm,text/html,.html; .htm; .xhtml; .xht,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,f7b648289110ef5380e2bc3b12abebaa3adac1eda71f119b0ff8890adc659dc8,f7b648289110ef5380e2bc3b12abebaa3adac1eda71f119b0ff8890adc659dc8,missing
sample-html,.html,tests/fixtures/sample.html,text/html,.html; .htm; .xhtml; .xht,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,f7b648289110ef5380e2bc3b12abebaa3adac1eda71f119b0ff8890adc659dc8,f7b648289110ef5380e2bc3b12abebaa3adac1eda71f119b0ff8890adc659dc8,missing
sample-hwp,.hwp,tests/fixtures/sample.hwp,application/x-hwp,.hwp,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,283e16ee51834d75e22f413203549027a5d3fda39346302d9429e9732bb3a77c,283e16ee51834d75e22f413203549027a5d3fda39346302d9429e9732bb3a77c,missing
sample-ico,.ico,tests/fixtures/sample.ico,image/vnd.microsoft.icon,.ico,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,0a2afd5fa7953b08795fc139fe594f8beb459bacc5002d1970311529ce4ea85e,0a2afd5fa7953b08795fc139fe594f8beb459bacc5002d1970311529ce4ea85e,missing
sample-ics,.ics,tests/fixtures/sample.ics,text/calendar,.ics,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,559df9735c47afdb892c3ba4ef9ad7fbec58762e1d8165b663025bd5aaac908b,559df9735c47afdb892c3ba4ef9ad7fbec58762e1d8165b663025bd5aaac908b,missing
sample-iso,.iso,tests/fixtures/sample.iso,application/x-iso9660-image,.iso,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,620d2c853342e4d29c546c4b0bfd9883f087c9536eedbd45f02871b189c4b788,620d2c853342e4d29c546c4b0bfd9883f087c9536eedbd45f02871b189c4b788,missing
sample-java,.java,tests/fixtures/sample.java,text/x-java,.java,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,17ddf17b7ee23588f2fe77098ad386de5d20f32f2e33909619f1ebdd2fc96ac4,17ddf17b7ee23588f2fe77098ad386de5d20f32f2e33909619f1ebdd2fc96ac4,missing
sample-jp2,.jp2,tests/fixtures/sample.jp2,image/jp2,.jp2,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,bb867739b2ef418f53f6288f4c81615334fc664ec61f3c1d70ca8f0281e6a23e,bb867739b2ef418f53f6288f4c81615334fc664ec61f3c1d70ca8f0281e6a23e,missing
sample-jpeg,.jpeg,tests/fixtures/sample.jpeg,image/jpeg,.jpg; .jpeg,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,0666b0a139750792d15bb2422175dbe016cf8cc308502df6af8096e2d1b6a72b,0666b0a139750792d15bb2422175dbe016cf8cc308502df6af8096e2d1b6a72b,missing
sample-jpg,.jpg,tests/fixtures/sample.jpg,image/jpeg,.jpg; .jpeg,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,0666b0a139750792d15bb2422175dbe016cf8cc308502df6af8096e2d1b6a72b,0666b0a139750792d15bb2422175dbe016cf8cc308502df6af8096e2d1b6a72b,missing
sample-json,.json,tests/fixtures/sample.json,application/json,.json,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,8434d68cdd701ca05f5efd588bcf2500cb8718e22321b114f2a0bf12788ef47c,8434d68cdd701ca05f5efd588bcf2500cb8718e22321b114f2a0bf12788ef47c,missing
sample-jxl,.jxl,tests/fixtures/sample.jxl,image/jxl,.jxl,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,938543fb27f1f2c3498a43e167095f4bd61b53382a9bb2079d122a5eb50aecdd,938543fb27f1f2c3498a43e167095f4bd61b53382a9bb2079d122a5eb50aecdd,missing
sample-mht,.mht,tests/fixtures/sample.mht,message/rfc822,.mht,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,69018aae28c71f0c93eef0105699e81a40b9f3869bd99bcb3b54f041952d618c,69018aae28c71f0c93eef0105699e81a40b9f3869bd99bcb3b54f041952d618c,missing
sample-midi,.midi,tests/fixtures/sample.midi,audio/midi,.midi,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,37c0c04884ced6b66f1b77872eb6c561147d9deed1ebe3f749595e35d90cce26,37c0c04884ced6b66f1b77872eb6c561147d9deed1ebe3f749595e35d90cce26,missing
sample-mkv,.mkv,tests/fixtures/sample.mkv,video/x-matroska,.mkv,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3ba8e04fa9ec4432398dbb9a5fdfd39471d8757e77d656e5de67e4cf96502eb0,3ba8e04fa9ec4432398dbb9a5fdfd39471d8757e77d656e5de67e4cf96502eb0,missing
sample-mov,.mov,tests/fixtures/sample.mov,video/quicktime,.mov,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,858b8eb825214354dd8211ac09ddc99a3275830081f979debf4611b687d72a42,858b8eb825214354dd8211ac09ddc99a3275830081f979debf4611b687d72a42,missing
sample-mp3,.mp3,tests/fixtures/sample.mp3,audio/mpeg,.mp3,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3ca67a2026e23fef62689330f4d62c1e10c7617b5b4db3e64e8a42d477b53473,3ca67a2026e23fef62689330f4d62c1e10c7617b5b4db3e64e8a42d477b53473,missing
sample-mp4,.mp4,tests/fixtures/sample.mp4,video/mp4,.mp4,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3c5f8f8c530ee00533e5c21b5d04e8661ba03879abb1362d39e22629bb929061,3c5f8f8c530ee00533e5c21b5d04e8661ba03879abb1362d39e22629bb929061,missing
sample-odp,.odp,tests/fixtures/sample.odp,application/vnd.oasis.opendocument.presentation,.odp,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,396a6487b16d56d0385fff6312b3d63a7a33af82fc6dbf7043d412f7a3b6f4b4,396a6487b16d56d0385fff6312b3d63a7a33af82fc6dbf7043d412f7a3b6f4b4,missing
sample-ods,.ods,tests/fixtures/sample.ods,application/vnd.oasis.opendocument.spreadsheet,.ods,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,fef030d21e9f5cd3618ca826c49a7185491b13c6d2126202394dda2299cf81f6,fef030d21e9f5cd3618ca826c49a7185491b13c6d2126202394dda2299cf81f6,missing
sample-odt,.odt,tests/fixtures/sample.odt,application/vnd.oasis.opendocument.text,.odt,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,809366ebc0f1f7d4b52d7902df0c913876022b78dba5a5eadc4b2b37ed66cf6d,809366ebc0f1f7d4b52d7902df0c913876022b78dba5a5eadc4b2b37ed66cf6d,missing
sample-patch,.patch,tests/fixtures/sample.patch,text/x-diff,.diff; .patch,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,d385474b801bc7009bd4d4d22f70b533d483ce5d0d928aaf5527a288f971c37e,d385474b801bc7009bd4d4d22f70b533d483ce5d0d928aaf5527a288f971c37e,missing
sample-pdf,.pdf,tests/fixtures/sample.pdf,application/pdf,.pdf,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,f632de16e867e6ef2c93e59c8a49aec4036b17d8bf46a1ac3ddb7379dc074d30,f632de16e867e6ef2c93e59c8a49aec4036b17d8bf46a1ac3ddb7379dc074d30,missing
sample-pgp,.pgp,tests/fixtures/sample.pgp,application/pgp-encrypted,.pgp,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,29030f884b5113c98a52bbe35477027a5a25c7c3caa932ee525429802af85e2d,29030f884b5113c98a52bbe35477027a5a25c7c3caa932ee525429802af85e2d,missing
sample-pl,.pl,tests/fixtures/sample.pl,text/x-perl,.pl,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,bdf62f698a2dc99f2155a489a4d8e9348f0f4163e050c04905b56ca30f3a26b3,bdf62f698a2dc99f2155a489a4d8e9348f0f4163e050c04905b56ca30f3a26b3,missing
sample-png,.png,tests/fixtures/sample.png,image/png,.png,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,b1ff9c8ea3a780bad09b346c423d2d0e46815926879b18e841d928376a946640,b1ff9c8ea3a780bad09b346c423d2d0e46815926879b18e841d928376a946640,missing
sample-ppt,.ppt,tests/fixtures/sample.ppt,application/vnd.ms-powerpoint,.ppt,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,64275a6685b8f267827178037dcc59de927475e56385725916f4c6039c7ce7f6,64275a6685b8f267827178037dcc59de927475e56385725916f4c6039c7ce7f6,missing
sample-pptx,.pptx,tests/fixtures/sample.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx; .pptm,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,bfb4b2f07c9233afd2f32aa5781d849d0c7d225bf03721a10becf487b481d828,bfb4b2f07c9233afd2f32aa5781d849d0c7d225bf03721a10becf487b481d828,missing
sample-ps,.ps,tests/fixtures/sample.ps,application/postscript,.ps,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,cb3e1552737d87a6ac98b5ab387d41e772908fff5578e7a9c84ebdd99b307255,cb3e1552737d87a6ac98b5ab387d41e772908fff5578e7a9c84ebdd99b307255,missing
sample-psd,.psd,tests/fixtures/sample.psd,image/vnd.adobe.photoshop,.psd,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,36305f622c66bd2af407f8258947b3ae4cd0375ea4d42ff76bda9fa5dda25810,36305f622c66bd2af407f8258947b3ae4cd0375ea4d42ff76bda9fa5dda25810,missing
sample-svg,.svg,tests/fixtures/sample.svg,image/svg+xml,.svg,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3f89ee85ef4cc98e54b23777d00bcb1198b412c4032f7615680345313f8c8a1f,3f89ee85ef4cc98e54b23777d00bcb1198b412c4032f7615680345313f8c8a1f,missing
sample-tar,.tar,tests/fixtures/sample.tar,application/x-tar,.tar,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3a202801e88495a72afd0b49fb2c982cc8b2a24b8a44b89974701e3fca00c00e,3a202801e88495a72afd0b49fb2c982cc8b2a24b8a44b89974701e3fca00c00e,missing
sample-tex,.tex,tests/fixtures/sample.tex,text/x-tex,.tex; .sty,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,416b8aa56953e42705f78d650b563ce5730c108ba7b723c5435d92e6d9f0901d,416b8aa56953e42705f78d650b563ce5730c108ba7b723c5435d92e6d9f0901d,missing
sample-tif,.tif,tests/fixtures/sample.tif,image/tiff,.tif,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,c37e17ffad699c434f3e742e63207776cf4eab017efde278d2ee6fde02381b0d,c37e17ffad699c434f3e742e63207776cf4eab017efde278d2ee6fde02381b0d,missing
sample-tiff,.tiff,tests/fixtures/sample.tiff,image/tiff,.tiff,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,c37e17ffad699c434f3e742e63207776cf4eab017efde278d2ee6fde02381b0d,c37e17ffad699c434f3e742e63207776cf4eab017efde278d2ee6fde02381b0d,missing
sample-torrent,.torrent,tests/fixtures/sample.torrent,application/x-bittorrent,.torrent,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,abdda9fa9bcf236357974bef00b34d4c0967f63929d1b7ad8a4598383e0a8f19,abdda9fa9bcf236357974bef00b34d4c0967f63929d1b7ad8a4598383e0a8f19,missing
sample-vcard,.vcard,tests/fixtures/sample.vcard,text/vcard,.vcard,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,7fa34bd68380f45f6f4402cc173523cec1482f2cb2e56b0247468bf662292f14,7fa34bd68380f45f6f4402cc173523cec1482f2cb2e56b0247468bf662292f14,missing
sample-wav,.wav,tests/fixtures/sample.wav,audio/x-wav,.wav,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,337ca484f7d44bde1e15fcc7eb62d870cedc77360db0c0a5241e0158afd74f9b,337ca484f7d44bde1e15fcc7eb62d870cedc77360db0c0a5241e0158afd74f9b,missing
sample-webm,.webm,tests/fixtures/sample.webm,video/webm,.webm,,excluded,verified,ffprobe WebM decode/container,distinctive,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,355ce0a0ed61a50052ba040595f97a5fef2d590010bb90b4228e7a731ff7de18,355ce0a0ed61a50052ba040595f97a5fef2d590010bb90b4228e7a731ff7de18,missing
sample-webp,.webp,tests/fixtures/sample.webp,image/webp,.webp,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,c8d1043bd19c7aad0d3e889d232de55924a82988627372e273ffafbf9ba0dfa3,c8d1043bd19c7aad0d3e889d232de55924a82988627372e273ffafbf9ba0dfa3,missing
sample-xcf,.xcf,tests/fixtures/sample.xcf,image/x-xcf,.xcf,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,caad39ce15042843f8c4785ad8c919ebf3e1af187488e7ab24bbc446c0f90500,caad39ce15042843f8c4785ad8c919ebf3e1af187488e7ab24bbc446c0f90500,missing
sample-xls,.xls,tests/fixtures/sample.xls,application/vnd.ms-excel,.xls,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,53c9bd7337aa79fedf29cef8d81ec47fff39f80e25da9d74bc354cfdf1c43b73,53c9bd7337aa79fedf29cef8d81ec47fff39f80e25da9d74bc354cfdf1c43b73,missing
sample-xlsx,.xlsx,tests/fixtures/sample.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.xlsx; .xlsm,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,7c88883ea9ff72d8f90239cb1a5f5d9744014b611d9b1588a090ba7629a381de,7c88883ea9ff72d8f90239cb1a5f5d9744014b611d9b1588a090ba7629a381de,missing
sample-zst,.zst,tests/fixtures/sample.zst,application/zstd,.zst,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,d37d02a42de16c26def4df27f09b5a0dc0e316cd5f1f58f814f839f32b14b35d,d37d02a42de16c26def4df27f09b5a0dc0e316cd5f1f58f814f839f32b14b35d,missing
sample-CBL,.cbl,tests/fixtures/sample.uppercase.CBL,text/x-cobol,.cbl; .cob; .cpy; .cbl; .cob; .cpy,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,b94547a0e1651f696efbf7bffe47700f6739ba2fba8470d564cc1851bd99a6ce,b94547a0e1651f696efbf7bffe47700f6739ba2fba8470d564cc1851bd99a6ce,missing
sample-COB,.cob,tests/fixtures/sample.uppercase.COB,text/x-cobol,.cbl; .cob; .cpy; .cbl; .cob; .cpy,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,b94547a0e1651f696efbf7bffe47700f6739ba2fba8470d564cc1851bd99a6ce,b94547a0e1651f696efbf7bffe47700f6739ba2fba8470d564cc1851bd99a6ce,missing
sample-F90,.f90,tests/fixtures/sample.uppercase.F90,text/x-fortran,.f90; .f95; .f03; .f90,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,e505c52c6338c4e0f3515ca58f442f55f7d14d4acf2070cd92f3daf73dc287a8,e505c52c6338c4e0f3515ca58f442f55f7d14d4acf2070cd92f3daf73dc287a8,missing
sample-P,.p,tests/fixtures/sample.uppercase.P,text/x-prolog,.p,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,2813b8d3b7e26e50ba9bf83feeda83372bf99d6982883078525e212cdacc5c95,2813b8d3b7e26e50ba9bf83feeda83372bf99d6982883078525e212cdacc5c95,missing
sample-R,.r,tests/fixtures/sample.uppercase.R,text/x-r,.r,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,4a93b45feb02b571abdbb4623580d70de4349b959ac8f095b6b241a3ae6dbcd8,4a93b45feb02b571abdbb4623580d70de4349b959ac8f095b6b241a3ae6dbcd8,missing
sample-aff,.aff,tests/fixtures/sample.aff,text/x-msdos-batch,.aff,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3590b8bb285d95f699fe067dd7f889fbaaaa7a9bfa092b010fef5f3a3d7f807d,3590b8bb285d95f699fe067dd7f889fbaaaa7a9bfa092b010fef5f3a3d7f807d,missing
sample-asp,.asp,tests/fixtures/sample.asp,text/html,.aspx; .asp,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,c9596576af7be852bdcd9e1abe3b427aa1190a3133932831010195727ce93e51,c9596576af7be852bdcd9e1abe3b427aa1190a3133932831010195727ce93e51,missing
sample-bib,.bib,tests/fixtures/sample.bib,text/x-bibtex,.bib,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3398b1deae77d688e91a1fea73963144ff664a3c4b0332ebccedefe086d9d965,3398b1deae77d688e91a1fea73963144ff664a3c4b0332ebccedefe086d9d965,missing
sample-bluespec,.bluespec,tests/fixtures/sample.bluespec,text/x-vhdl,.bluespec,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,531dba2ea0fed21010b82711183e2e9c4c53d5a9f7ea5dc22cc89229f2bc79b5,531dba2ea0fed21010b82711183e2e9c4c53d5a9f7ea5dc22cc89229f2bc79b5,missing
